4, s, 10, 3.86458, 302.389, None
2, s, 18, 3.87444, 401.768, None
9, s, 4, 3.87795, 515.464, IC
0, t, 30, 3.88175, 133.708, None
0, s, 31, 3.90540, 179.501, None
1, s, 20, 3.94156, 155.424, None
7, s, 6, 3.95872, 504.286, vp
6, s, 9, 3.96535, 320.616, vp
3, s, 16, 3.96687, 226.860, None
0, t, 31, 3.99162, 133.316, None
0, s, 32, 3.99504, 176.336, None
3, t, 10, 3.99661, 237.079, None
1, t, 19, 4.00717, 202.840, None
4, s, 11, 4.01047, 284.657, None
2, t, 14, 4.01639, 240.674, None
10, s, 2, 4.03233, 191.681, IC
11, s, 2, 4.05847, 130.924, IC
0, s, 33, 4.08452, 173.430, None
1, s, 21, 4.08834, 155.545, None
2, s, 19, 4.09240, 407.000, None
0, t, 32, 4.10144, 132.979, None
4, s, 0, 4.10576, 968.992, None
3, s, 17, 4.12558, 222.370, None
3, t, 11, 4.15180, 240.154, None
4, s, 12, 4.15298, 274.499, None
1, t, 20, 4.15305, 200.401, None
5, s, 10, 4.15700, 89.485, IC(J)
8, s, 5, 4.16620, 611.247, IC
0, s, 34, 4.17390, 170.736, None
2, t, 15, 4.19612, 239.234, None
6, s, 10, 4.21076, 354.359, vp
0, t, 33, 4.21123, 132.679, None
1, s, 22, 4.23440, 155.812, None
7, s, 7, 4.23785, 415.110, vp
0, s, 35, 4.26323, 168.209, None
3, s, 18, 4.28598, 218.055, None
4, s, 13, 4.29521, 268.240, None
1, t, 21, 4.29742, 197.824, None
12, s, 1, 4.30034, 223.914, None
10, s, 3, 4.30092, 289.771, None
4, t, 1, 4.30457, 220.848, None
2, s, 20, 4.31064, 409.836, None
3, t, 12, 4.31829, 242.718, None
0, t, 34, 4.32100, 132.398, None
9, s, 5, 4.32487, 89.952, None
4, t, 2, 4.32683, 220.897, None
12, s, 2, 4.33016, 229.516, None
0, s, 36, 4.35253, 165.837, None
4, t, 3, 4.36007, 220.897, None
2, t, 16, 4.37215, 237.473, None
1, s, 23, 4.37984, 156.128, None
10, s, 4, 4.38116, 237.135, None
4, t, 4, 4.40414, 220.897, None
0, t, 35, 4.43075, 132.170, None
8, s, 6, 4.43524, 440.917, None
4, s, 14, 4.43908, 264.271, None
1, t, 22, 4.44027, 195.160, None
0, s, 37, 4.44184, 163.639, None
3, s, 19, 4.44756, 213.904, None
7, s, 8, 4.45259, 321.440, None
5, s, 11, 4.45655, 374.672, vp
4, t, 5, 4.45881, 220.946, None
11, s, 3, 4.46242, 447.427, IC
10, s, 5, 4.46975, 242.189, None
3, t, 13, 4.49438, 244.499, None
13, s, 1, 4.49573, 735.294, IC
4, t, 6, 4.52386, 220.946, None
1, s, 24, 4.52468, 156.470, None
2, s, 21, 4.52888, 411.523, None
0, s, 38, 4.53120, 161.551, None
6, s, 11, 4.53494, 89.429, None
0, t, 36, 4.54049, 131.961, None
2, t, 17, 4.54486, 235.571, None
1, t, 23, 4.58159, 192.382, None
4, s, 15, 4.58574, 261.780, None
4, t, 7, 4.59904, 220.897, None
3, s, 20, 4.60989, 210.040, None
7, s, 9, 4.61795, 281.849, None
0, s, 39, 4.62061, 159.591, None
9, s, 6, 4.62088, 331.126, None
0, t, 37, 4.65023, 131.787, None
8, s, 7, 4.65046, 351.617, None
1, s, 25, 4.66893, 156.789, None
3, t, 14, 4.67769, 245.218, None
12, s, 3, 4.68362, 86.319, None
4, t, 8, 4.68410, 220.897, None
5, s, 12, 4.69598, 385.654, vp
0, s, 40, 4.71010, 157.754, None
2, t, 18, 4.71471, 233.590, None
1, t, 24, 4.72136, 189.538, None
4, s, 16, 4.73578, 260.281, None
2, s, 22, 4.74699, 412.541, None
0, t, 38, 4.75996, 131.631, None
11, s, 4, 4.76686, 701.754, IC
7, s, 10, 4.76776, 266.241, None
3, s, 21, 4.77264, 206.398, None
4, t, 9, 4.77882, 220.897, None
0, s, 41, 4.79967, 155.982, None
1, s, 26, 4.81257, 157.035, None
13, s, 2, 4.84526, 878.735, IC
1, t, 25, 4.85960, 186.672, None
3, t, 15, 4.86533, 244.559, None
0, t, 39, 4.86969, 131.492, None
9, s, 7, 4.87264, 489.956, None
2, t, 19, 4.88209, 231.535, None
4, t, 10, 4.88302, 220.946, None
5, s, 0, 4.88417, 920.810, None
0, s, 42, 4.88934, 154.297, None
4, s, 17, 4.88938, 259.471, None
8, s, 8, 4.90807, 419.463, None
6, s, 12, 4.91192, 89.381, None
10, s, 6, 4.91411, 87.184, None
7, s, 11, 4.91694, 258.398, None
5, s, 13, 4.92440, 386.100, None
14, s, 1, 4.92538, 88.106, None
3, s, 22, 4.93556, 203.004, None
1, s, 27, 4.95554, 157.208, None
2, s, 23, 4.96489, 412.371, None
0, s, 43, 4.97912, 152.695, None
0, t, 40, 4.97942, 131.389, None
1, t, 26, 4.99630, 183.824, None
4, t, 11, 4.99659, 221.092, None
4, s, 18, 5.04641, 259.067, None
2, t, 20, 5.04732, 229.410, None
3, t, 16, 5.05435, 242.660, None
0, s, 44, 5.06901, 151.172, None
7, s, 12, 5.07102, 254.065,  IC
11, s, 5, 5.07441, 665.336, IC
0, t, 41, 5.08915, 131.285, None
1, s, 28, 5.09780, 157.233, None
3, s, 23, 5.09849, 200.040, None
4, t, 12, 5.11949, 221.386, None
1, t, 27, 5.13150, 180.995,  p
5, s, 14, 5.13681, 371.609, vp
9, s, 8, 5.14445, 472.367, None
0, s, 45, 5.15901, 149.701, None
2, s, 24, 5.18242, 408.664,  IC
13, s, 3, 5.19382, 908.265, IC
0, t, 42, 5.19889, 131.216, None
4, s, 19, 5.20651, 258.933, None
2, t, 21, 5.21067, 227.324, None
8, s, 9, 5.21187, 501.505, None
6, s, 13, 5.23388, 253.550, None
1, s, 29, 5.23929, 157.159, None
3, t, 17, 5.24220, 239.751, None
0, s, 46, 5.24912, 148.302, None
4, t, 13, 5.25178, 221.976, None
3, s, 24, 5.26142, 198.020, None
1, t, 28, 5.26522, 178.221, None
7, s, 13, 5.28815, 89.334, None
12, s, 4, 5.29380, 88.238, None
15, s, 1, 5.29575, 679.810,  IC/p
0, t, 43, 5.30863, 131.148, None
